config_id,val_rmse,train_duration_min,is_best,timestamp,error,modals,lr,node_stalk_dim,fusion_type,batch_size,edge_stalk_dim,num_diffusion_layers,weight_decay,dropout_rate,epochs
0,0.9034949541091919,0.13,True,2026-02-24 11:16:52,,"['text', 'video']",0.00023999999999999998,320,concat,256,32,1,1e-05,0.1,30
1,0.8970655798912048,0.16,True,2026-02-24 11:17:02,,"['text', 'video']",0.00023999999999999998,192,concat,256,32,1,1e-05,0.1,30
2,0.8813105225563049,0.25,True,2026-02-24 11:17:17,,"['text', 'video']",0.00023999999999999998,192,concat,256,32,1,1e-05,0.1,30
3,0.8836674094200134,0.21,False,2026-02-24 11:17:29,,"['text', 'video']",0.0003,192,concat,256,32,1,1e-05,0.1,30
4,0.8818444609642029,0.23,False,2026-02-24 11:17:43,,"['text', 'video']",0.00035999999999999997,256,concat,256,32,1,1e-05,0.1,30
5,0.8823588490486145,0.32,False,2026-02-24 11:18:02,,"['text', 'video']",0.00023999999999999998,256,concat,256,32,1,1e-05,0.1,30
6,0.9024015665054321,0.1,False,2026-02-24 11:18:08,,"['text', 'video']",0.00035999999999999997,320,concat,256,32,1,1e-05,0.1,30
7,0.8840650916099548,0.24,False,2026-02-24 11:18:23,,"['text', 'video']",0.00035999999999999997,256,concat,256,32,1,1e-05,0.1,30
8,0.8864408135414124,0.22,False,2026-02-24 11:18:36,,"['text', 'video']",0.00035999999999999997,320,concat,256,32,1,1e-05,0.1,30
