config_id,val_rmse,train_duration_min,is_best,timestamp,error,modals,lr,node_stalk_dim,fusion_type,batch_size,edge_stalk_dim,num_diffusion_layers,weight_decay,dropout_rate,epochs
46,0.8894555568695068,1.76,True,2026-02-24 10:53:21,,"['text', 'video']",0.0008,256,attention,64,64,2,0.0001,0.1,30
47,0.9014725685119629,0.76,False,2026-02-24 10:54:07,,"['text', 'video']",0.0001,64,attention,128,64,2,0.0001,0.1,30
48,0.9071543216705322,0.22,False,2026-02-24 10:54:20,,"['text', 'video']",0.0003,256,concat,128,64,2,0.0001,0.1,30
49,0.8991579413414001,0.59,False,2026-02-24 10:54:55,,"['text', 'video']",0.0001,128,attention,128,64,2,0.0001,0.1,30
50,0.9070427417755127,0.48,False,2026-02-24 10:55:24,,"['text', 'video']",0.0008,64,average,64,64,2,0.0001,0.1,30
51,0.9022013545036316,0.69,False,2026-02-24 10:56:05,,"['text', 'video']",0.0001,64,concat,128,64,2,0.0001,0.1,30
52,0.8964405059814453,0.2,False,2026-02-24 10:56:17,,"['text', 'video']",0.0008,256,average,256,64,2,0.0001,0.1,30
53,0.8989015221595764,0.23,False,2026-02-24 10:56:31,,"['text', 'video']",0.0001,256,concat,256,64,2,0.0001,0.1,30
54,0.9028088450431824,0.26,False,2026-02-24 10:56:47,,"['text', 'video']",0.001,32,attention,256,64,2,0.0001,0.1,30
55,0.8991493582725525,0.47,False,2026-02-24 10:57:15,,"['text', 'video']",0.0008,128,attention,128,64,2,0.0001,0.1,30
56,0.8960548043251038,0.4,False,2026-02-24 10:57:39,,"['text', 'video']",0.0001,256,attention,256,64,2,0.0001,0.1,30
57,0.9028658270835876,0.23,False,2026-02-24 10:57:53,,"['text', 'video']",0.0003,64,attention,256,64,2,0.0001,0.1,30
58,0.9065539836883545,0.35,False,2026-02-24 10:58:14,,"['text', 'video']",0.0008,128,concat,64,64,2,0.0001,0.1,30
59,0.8915715217590332,0.26,False,2026-02-24 10:58:29,,"['text', 'video']",0.001,256,concat,256,64,2,0.0001,0.1,30
60,0.9069386124610901,0.12,False,2026-02-24 10:58:37,,"['text', 'video']",0.001,32,concat,256,64,2,0.0001,0.1,30
61,0.893694281578064,0.56,False,2026-02-24 10:59:10,,"['text', 'video']",0.0008,32,concat,128,64,2,0.0001,0.1,30
62,0.895224928855896,0.22,False,2026-02-24 10:59:23,,"['text', 'video']",0.0008,256,average,256,64,2,0.0001,0.1,30
63,0.887964129447937,0.25,True,2026-02-24 10:59:38,,"['text', 'video']",0.0003,256,average,256,64,2,0.0001,0.1,30
64,0.8932117223739624,0.4,False,2026-02-24 11:00:02,,"['text', 'video']",0.0008,64,concat,128,64,2,0.0001,0.1,30
65,0.8848951458930969,0.29,True,2026-02-24 11:00:19,,"['text', 'video']",0.0003,256,concat,256,64,2,0.0001,0.1,30
66,0.8966835141181946,0.18,False,2026-02-24 11:00:30,,"['text', 'video']",0.0005,64,concat,256,64,2,0.0001,0.1,30
67,0.8909417390823364,0.2,False,2026-02-24 11:00:42,,"['text', 'video']",0.001,128,concat,256,64,2,0.0001,0.1,30
68,0.9003285765647888,0.2,False,2026-02-24 11:00:54,,"['text', 'video']",0.0003,128,attention,256,64,2,0.0001,0.1,30
